year,month,hospital
2009,1,0.01987792284215931
2009,2,0.01921696931366229
2009,3,0.019013530322646157
2009,4,0.018329185252070945
2009,5,0.01851285105350516
2009,6,0.019179254248578064
2009,7,0.018675774483566297
2009,8,0.018106965685267266
2009,9,0.01780971994483126
2009,10,0.01800110234763562
2009,11,0.017817441857146527
2009,12,0.018301014480770553
2010,1,0.01848944252421204
2010,2,0.018386005485246736
2010,3,0.01879553898671629
2010,4,0.01820999032772813
2010,5,0.01795274216302909
2010,6,0.01817780026240299
2010,7,0.01799807944724446
2010,8,0.017427213720473025
2010,9,0.01796813400972939
2010,10,0.0174775062281046
2010,11,0.017722301999337237
2010,12,0.018251126599013845
2011,1,0.01882653714969095
2011,2,0.018153249531960416
2011,3,0.018419233546716166
2011,4,0.017741737451306493
2011,5,0.017834356201008688
2011,6,0.01794339525744049
2011,7,0.017540942837902408
2011,8,0.01746622907006598
2011,9,0.01713343854111871
2011,10,0.017025324760530113
2011,11,0.017460703175109987
2011,12,0.017015868824320643
2012,1,0.017510452513759097
2012,2,0.017341627732325778
2012,3,0.016794380180053723
2012,4,0.016761110720450466
2012,5,0.016906090088943847
2012,6,0.016925549155360896
2012,7,0.01709357459347752
2012,8,0.016446276735749516
2012,9,0.016049554328769765
2012,10,0.01656229017368868
2012,11,0.015308311705990453
2012,12,0.015259126960943867
2013,1,0.01648430612250538
2013,2,0.01612639830162489
2013,3,0.016150297491847144
2013,4,0.017325527945272153
2013,5,0.01704019032654036
2013,6,0.01732627942067826
2013,7,0.01755177170357073
2013,8,0.017428823534173608
2013,9,0.01691337407259581
2013,10,0.017642121966094743
2013,11,0.017454914996352322
2013,12,0.018083987968343894
2014,1,0.01909249687480606
2014,2,0.018850951044589958
2014,3,0.01858302143022755
2014,4,0.01856776872989154
2014,5,0.01805847148235157
2014,6,0.017851659048964977
2014,7,0.017797211061214843
2014,8,0.018164262573090815
2014,9,0.01803641078344171
2014,10,0.018456663485550685
2014,11,0.018280434839667927
2014,12,0.019066088783079218
2015,1,0.019537233829249708
2015,2,0.019495875494038736
2015,3,0.019813844439819293
2015,4,0.01958510058711592
2015,5,0.018838879024164288
2015,6,0.019727112137841916
